       Step     Time          Energy          fmax
MDMin:   15 15:14:39       14.268740        1.025233
MDMin:   16 15:14:39       13.692632        1.012979
MDMin:   17 15:14:40       13.139823        0.974079
       Step     Time          Energy          fmax
MDMin:    0 15:29:05       25.579549       26.433472
MDMin:    1 15:29:05       14.502444        8.536754
MDMin:    2 15:29:05        8.591032        3.582569
MDMin:    3 15:29:05        7.884374        1.655576
MDMin:    4 15:29:05        7.495751        2.204532
MDMin:    5 15:29:05        6.969625        2.418892
MDMin:    6 15:29:05        5.965480        2.090958
MDMin:    7 15:29:05        5.047553        1.448781
MDMin:    8 15:29:05        4.246452        1.092120
MDMin:    9 15:29:05        3.620768        1.087809
MDMin:   10 15:29:05        3.190636        1.081076
MDMin:   11 15:29:05        2.849612        1.074239
MDMin:   12 15:29:05        2.562631        1.068128
MDMin:   13 15:29:05        2.316272        1.062245
MDMin:   14 15:29:05        2.102909        1.055857
MDMin:   15 15:29:05        1.917093        1.048379
MDMin:   16 15:29:05        1.754500        1.039542
MDMin:   17 15:29:05        1.611586        1.029424
MDMin:   18 15:29:05        1.485428        1.018362
MDMin:   19 15:29:05        1.373618        1.006826
MDMin:   20 15:29:05        1.274170        0.995316
       Step     Time          Energy          fmax
MDMin:    0 15:35:04       75.646273       36.804543
MDMin:    1 15:35:04       50.252735       13.056335
MDMin:    2 15:35:04       34.264901        6.196175
MDMin:    3 15:35:04       25.897334        2.717062
MDMin:    4 15:35:04       23.733802        3.176681
MDMin:    5 15:35:04       20.771241        2.906601
MDMin:    6 15:35:04       17.046201        2.638683
MDMin:    7 15:35:04       13.899903        1.764490
MDMin:    8 15:35:04       11.061262        1.429137
MDMin:    9 15:35:04        8.620172        1.126714
MDMin:   10 15:35:04        6.920200        1.018357
MDMin:   11 15:35:04        5.764287        1.065530
MDMin:   12 15:35:04        4.996663        1.087955
MDMin:   13 15:35:04        4.433584        1.099840
MDMin:   14 15:35:04        3.995453        1.107703
MDMin:   15 15:35:04        3.640919        1.112831
MDMin:   16 15:35:04        3.345665        1.112999
MDMin:   17 15:35:04        3.093945        1.106438
MDMin:   18 15:35:04        2.875115        1.094386
MDMin:   19 15:35:04        2.682054        1.079355
MDMin:   20 15:35:04        2.509982        1.063230
MDMin:   21 15:35:04        2.355553        1.047134
